id,className,classId,dimData
1,1,0,"0.62517,0.73958,0.68103,0.23997,0.28561"
1,1,0,"0.91707,0.63241,0.80557,0.48351,0.58964"
1,1,0,"0.92077,0.88674,0.54878,0.30707,0.26626"
1,1,0,"0.71012,0.69194,0.8529,0.26532,0.57244"
1,1,1,"0.89329,0.63215,0.36259,0.22052,0.54008"
1,1,1,"0.97574,0.5729,0.54901,0.23203,0.41846"
1,1,1,"0.94659,0.54276,0.43503,0.034246,0.27529"
1,1,0,"0.91962,0.79001,0.76714,0.32279,0.089534"
1,1,0,"0.82473,0.79312,0.67993,0.30495,0.48574"
1,1,0,"0.71911,0.53517,0.71095,0.15848,0.21436"
1,1,1,"0.69663,0.67909,0.23325,0.54261,0.27704"
1,1,0,"0.95908,0.29018,0.57123,0.069172,0.60389"
1,1,0,"0.76026,1,0.064523,0.40044,0.32038"
1,1,0,"0.93909,0.74519,0.7295,0.34156,0.38702"
1,1,0,"0.74279,0.81598,0.73937,0.29722,0.47856"
1,1,0,"0.6882,0.90393,0.53115,0.27926,0.48164"
1,1,0,"0.86654,0.68505,0.79706,0.23135,0.5147"
1,1,0,"0.76325,0.72682,0.80681,0.25243,0.27411"
1,1,0,"0.88198,0.87517,0.53608,0.30575,0.23673"
1,1,1,"0.96713,0.67715,0.57344,0.28667,0.33396"
1,1,0,"0.46207,0.83009,0.71962,0.22106,0.78912"
1,1,0,"0.86676,0.72298,0.70378,0.41775,0.43264"
1,1,0,"0.70295,0.81716,0.82478,0.27039,0.63315"
1,1,0,"0.84176,0.9078,0.50996,0.31422,0.29845"
1,1,0,"0.76252,0.95768,0.39885,0.30378,0.37861"
1,1,0,"0.9415,0.89406,0.55938,0.29509,0.80389"
1,1,0,"0.89493,0.77362,0.65815,0.38027,0.48361"
1,1,0,"0.86706,0.58278,0.72543,0.26848,0"
1,1,0,"0.75107,0.4289,0.82889,0.58546,0.82587"
1,1,0,"0.84859,0.84063,0.34539,0.29223,0.46254"
1,1,0,"0.92949,0.71876,0.74447,0.41114,0.21348"
1,1,0,"0.92895,0.73075,0.70497,0.33756,0.38557"
1,1,0,"0.74239,0.80592,0.74247,0.28864,0.2435"
1,1,0,"0.92004,0.48771,0.66879,0.19115,0.47737"
1,1,1,"0.79432,0.71227,0.68623,0.48778,0.31208"
1,1,0,"0.85392,0.72204,0.62858,0.31242,0.25375"
1,1,0,"0.85738,0.82015,0.67071,0.2863,0.41616"
1,1,0,"0.96138,0.40643,0.40024,0.17214,0.41051"
1,1,0,"0.85634,0.7859,0.65668,0.30213,0.32933"
1,1,0,"0.68969,0.88231,0.45548,0.37878,0.1016"
1,1,0,"0.97681,0.5682,0.76022,0.20924,0.245"
1,1,0,"0.90635,0.7876,0.58172,0.41479,0.44262"
1,1,0,"0.92194,0.79673,0.53958,0.27614,0.24369"
1,1,0,"0.91168,0.93427,0.41007,0.3055,0.34479"
1,1,0,"0.33959,0.74302,0.81173,0.32296,0.68082"
1,1,0,"0.99227,0.72626,0.64643,0.29422,0.69104"
1,1,0,"0.85376,0.81118,0.66799,0.37648,0.63144"
1,1,0,"0.70663,0.60852,0.41101,0.64111,0.039713"
1,1,0,"0.47705,0.78959,0.70422,0.23781,0.50739"
1,1,0,"0.95601,0.80099,0.59261,0.3834,0.62086"
1,1,0,"0.85549,0.79344,0.6648,0.34917,0.085293"
1,1,0,"0.85802,0.83175,0.67679,0.28152,0.33481"
1,1,0,"0.85236,0.52163,0.51948,0.14582,0.97401"
1,1,0,"0.85206,0.78184,0.6544,0.41191,0.76019"
1,1,0,"0.85468,0.80169,0.66562,0.36559,0.40536"
1,1,0,"0.97981,0.78087,0.67132,0.26586,0.34533"
1,1,0,"0.91122,0.45003,0.60371,0.33842,0.3186"
1,1,0,"0.9504,0.82597,0.69111,0.31523,0.26177"
1,1,0,"0.92528,0.75556,0.65466,0.3645,0.66518"
